policy,normalized_value,total_value,compute_energy_j,comm_energy_j,energy_j,median_latency_min,on_pct,pre_pct,down_pct,drop_pct,mean_decision_ms,oom_count,energy_violation_count
Heuristic-TVD,1.0,2764.7152670834485,146952.99871838387,3027.3878543028263,149980.3865726867,1.1747762963714512,60.65384615384615,5.115384615384615,1.5384615384615383,32.69230769230769,0.0161381922841358,0.0,0.0
Deadline-Energy,0.9863396643507913,2726.948328560597,48289.44321935466,101675.79368320887,149965.23690256354,47.99859112593151,19.115384615384617,0.6538461538461539,53.88461538461538,26.346153846153847,0.0134106154571502,0.0,83.2
Energy-WSRPT,0.9618239581523026,2659.169381350303,146786.87459047462,3160.64178100558,149947.51637148022,1.1215282719910178,59.0,4.384615384615385,1.2307692307692308,35.38461538461538,0.0161938073646384,0.0,98.4
LEO-DRL-inspired,0.957548004793357,2647.347587817489,137525.9517040053,12448.27050139043,149974.22220539572,1.3015299209928757,55.07692307692308,0.8846153846153847,6.769230769230769,37.26923076923077,0.0486371540822661,0.0,0.0
ActiveInf-inspired,0.9324129210219482,2577.856237975254,149604.93384667728,375.3452889719279,149980.2791356492,1.2248357257557363,59.46153846153847,0.6153846153846154,0.1923076923076923,39.73076923076923,0.0319095002487301,0.0,0.0
