policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,gamma,decode_cap,early_stop_count,early_stop_rate,truncated_token_ratio,truncation_value_loss,truncation_value_loss_pct,adjusted_total_value,value_loss,value_loss_pct,mean_retention_loss_for_stopped,full_uncapped_value,normalized_value,normalized_adjusted_value
Heuristic-TVD,4308.355811516714,95586.26352263676,260,367.6394750870645,141896346105.7374,0.0,100.0,0.582986601118076,1.2473552171411637,0,0,260,0,0,0,100.0,0.0,0.0,0.0,54413.73647736294,54413.73647736294,0.0,0.0135288474176867,,,,,0,0.1,64,234,0.9,0.7024495279459668,1911.645208602436,44.37064374981277,2396.7106029142783,1418.5874236937952,37.1815625883089,0.5007133853086976,3815.2980266080735,1.0,0.628184374116911
Heuristic-TVD,4244.796364601808,149429.37234407663,260,574.7283551695255,141896346105.7374,8926980692.686182,93.70880157404898,0.6278317242809862,8.622659631889203,0,0,237,0,23,0,91.15384615384616,0.0,8.846153846153847,0.0,570.6276559233492,570.6276559233492,0.0,0.0140180781062764,,,,,0,0.1,128,139,0.5864978902953587,0.4809612050929523,849.4533640309149,20.01163992493665,3395.343000570893,419.9550260371807,11.007135566039503,0.3810805561434076,3815.2980266080735,0.985247400703302,0.889928644339605
Heuristic-TVD,3918.8915406825354,149630.27542810657,256,584.4932633910413,141896346105.7374,39891239217.71032,71.88705677594797,0.98956709249948,76.23202046570702,0,0,176,0,84,0,67.6923076923077,0.0,32.30769230769231,0.0,369.7245718933341,369.7245718933341,0.0,0.0149669226420183,,,,,0,0.1,256,38,0.2159090909090909,0.223212471332772,187.8622109443405,4.793758872735259,3731.029329738194,84.26869686987948,2.208705487282658,0.2948626502902711,3815.2980266080735,0.9096025751185408,0.9779129451271734
Heuristic-TVD,3818.629511658411,149864.22266372986,256,585.4071197801948,141896346105.7374,46910961323.36884,66.93997935055211,1.0706083368879566,109.75929090817864,0,0,158,1,101,0,60.76923076923077,0.3846153846153846,38.84615384615385,0.0,135.77733627004176,135.77733627004176,0.0,0.015086922660255,,,,,0,0.1,512,7,0.0440251572327044,0.0374489252087404,18.56331930368815,0.4861251725786353,3800.0661923547223,15.231834253350826,0.3992305226779998,0.1593404128482781,3815.2980266080735,0.8863310456974769,0.99600769477322
Heuristic-TVD,3815.2980266080735,149929.6343052132,255,587.9593502165224,141896346105.7374,46530049566.43928,67.2084230190351,1.0236148364505586,724.3631319727727,0,0,160,1,99,0,61.53846153846154,0.3846153846153846,38.07692307692308,0.0,70.36569478668628,70.36569478668628,0.0,0.015011154307733,,,,,0,0.1,uncapped,0,0.0,0.0,0.0,0.0,3815.2980266080735,0.0,0.0,0.0,3815.2980266080735,0.8855577843430102,1.0
Heuristic-TVD,4308.355811516714,95586.26352263676,260,367.6394750870645,141896346105.7374,0.0,100.0,0.582986601118076,1.2473552171411637,0,0,260,0,0,0,100.0,0.0,0.0,0.0,54413.73647736294,54413.73647736294,0.0,0.0153900006597933,,,,,0,0.15,64,234,0.9,0.7024495279459668,1911.645208602436,44.37064374981277,2396.7106029142783,1418.5874236937952,37.1815625883089,0.5007133853086976,3815.2980266080735,1.0,0.628184374116911
Heuristic-TVD,4244.796364601808,149429.37234407663,260,574.7283551695255,141896346105.7374,8926980692.686182,93.70880157404898,0.6278317242809862,8.622659631889203,0,0,237,0,23,0,91.15384615384616,0.0,8.846153846153847,0.0,570.6276559233492,570.6276559233492,0.0,0.0149846156441176,,,,,0,0.15,128,139,0.5864978902953587,0.4809612050929523,849.4533640309149,20.01163992493665,3395.343000570893,419.9550260371807,11.007135566039503,0.3810805561434076,3815.2980266080735,0.985247400703302,0.889928644339605
Heuristic-TVD,3918.8915406825354,149630.27542810657,256,584.4932633910413,141896346105.7374,39891239217.71032,71.88705677594797,0.98956709249948,76.23202046570702,0,0,176,0,84,0,67.6923076923077,0.0,32.30769230769231,0.0,369.7245718933341,369.7245718933341,0.0,0.0148346147258192,,,,,0,0.15,256,38,0.2159090909090909,0.223212471332772,187.8622109443405,4.793758872735259,3731.029329738194,84.26869686987948,2.208705487282658,0.2948626502902711,3815.2980266080735,0.9096025751185408,0.9779129451271734
Heuristic-TVD,3818.629511658411,149864.22266372986,256,585.4071197801948,141896346105.7374,46910961323.36884,66.93997935055211,1.0706083368879566,109.75929090817864,0,0,158,1,101,0,60.76923076923077,0.3846153846153846,38.84615384615385,0.0,135.77733627004176,135.77733627004176,0.0,0.0148599981912411,,,,,0,0.15,512,7,0.0440251572327044,0.0374489252087404,18.56331930368815,0.4861251725786353,3800.0661923547223,15.231834253350826,0.3992305226779998,0.1593404128482781,3815.2980266080735,0.8863310456974769,0.99600769477322
Heuristic-TVD,3815.2980266080735,149929.6343052132,255,587.9593502165224,141896346105.7374,46530049566.43928,67.2084230190351,1.0236148364505586,724.3631319727727,0,0,160,1,99,0,61.53846153846154,0.3846153846153846,38.07692307692308,0.0,70.36569478668628,70.36569478668628,0.0,0.0156896148557559,,,,,0,0.15,uncapped,0,0.0,0.0,0.0,0.0,3815.2980266080735,0.0,0.0,0.0,3815.2980266080735,0.8855577843430102,1.0
Heuristic-TVD,4308.355811516714,95586.26352263676,260,367.6394750870645,141896346105.7374,0.0,100.0,0.582986601118076,1.2473552171411637,0,0,260,0,0,0,100.0,0.0,0.0,0.0,54413.73647736294,54413.73647736294,0.0,0.0142592309902493,,,,,0,0.2,64,234,0.9,0.7024495279459668,1911.645208602436,44.37064374981277,2396.7106029142783,1418.5874236937952,37.1815625883089,0.5007133853086976,3815.2980266080735,1.0,0.628184374116911
Heuristic-TVD,4244.796364601808,149429.37234407663,260,574.7283551695255,141896346105.7374,8926980692.686182,93.70880157404898,0.6278317242809862,8.622659631889203,0,0,237,0,23,0,91.15384615384616,0.0,8.846153846153847,0.0,570.6276559233492,570.6276559233492,0.0,0.014515385555569,,,,,0,0.2,128,139,0.5864978902953587,0.4809612050929523,849.4533640309149,20.01163992493665,3395.343000570893,419.9550260371807,11.007135566039503,0.3810805561434076,3815.2980266080735,0.985247400703302,0.889928644339605
Heuristic-TVD,3918.8915406825354,149630.27542810657,256,584.4932633910413,141896346105.7374,39891239217.71032,71.88705677594797,0.98956709249948,76.23202046570702,0,0,176,0,84,0,67.6923076923077,0.0,32.30769230769231,0.0,369.7245718933341,369.7245718933341,0.0,0.0161673069949476,,,,,0,0.2,256,38,0.2159090909090909,0.223212471332772,187.8622109443405,4.793758872735259,3731.029329738194,84.26869686987948,2.208705487282658,0.2948626502902711,3815.2980266080735,0.9096025751185408,0.9779129451271734
