policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,seed,horizon_h,task_count,allow_pre,contact_model,training_seed_count,training_q_states,ua_training_seed_count,ua_training_q_states,normalized_value
Energy-WSRPT,3545.68728302179,149958.24434954658,257,583.4951142005704,138183152908.2682,35534348773.2781,74.28460125174065,0.7956735252066817,111.78914483510076,0,0,161,22,77,0,61.92307692307692,8.461538461538462,29.615384615384617,0.0,41.75565045332473,41.75565045332473,0.0,0.0148265378531784,,,,,1,24,260,1,fixed-window,10,283,10,646,0.897439492103617
ActiveInf-inspired,3627.2632596596977,149984.4624849066,257,583.5971302914654,138183152908.2682,42908622373.47966,68.94800743042518,1.1121057625823898,111.78914483510076,0,0,161,2,97,0,61.92307692307692,0.7692307692307693,37.30769230769231,0.0,15.537515093307604,15.537515093307604,0.0,0.030599615666478,,,,,1,24,260,1,fixed-window,10,283,10,646,0.9180869709132508
LEO-DRL-inspired,3639.56450033806,149987.02060410654,257,583.6070840626713,138183152908.2682,39991118525.36186,71.05933850567901,1.1445659766542424,111.68455703195276,0,0,160,13,87,0,61.53846153846154,5.0,33.46153846153846,0.0,12.979395893288311,12.979395893288311,0.0,0.0574969228742142,,,,,1,24,260,1,fixed-window,10,283,10,646,0.9212005052735696
Hierarchical-RA-inspired,3627.2632596596977,149984.4624849066,257,583.5971302914654,138183152908.2682,42908622373.47966,68.94800743042518,1.1121057625823898,111.78914483510076,0,0,161,2,97,0,61.92307692307692,0.7692307692307693,37.30769230769231,0.0,15.537515093307604,15.537515093307604,0.0,0.0155376920772071,,,,,1,24,260,1,fixed-window,10,283,10,646,0.9180869709132508
DRL-UA-inspired,3699.748228779813,149982.54415930656,257,583.5896659895197,138183152908.2682,44152392835.539055,68.04791907965128,1.1445659766542424,111.78914483510076,0,0,156,13,91,0,60.0,5.0,35.0,0.0,17.455840693336597,17.455840693336597,0.0,0.0627888463965903,,,,,1,24,260,1,fixed-window,10,283,10,646,0.936433448952584
QoS-Multihop-projected,3665.353253640215,149995.91119338645,257,583.641677795278,138183152908.2682,36813885478.92735,73.35862968522223,0.9838477977316872,111.68455703195276,0,0,162,16,82,0,62.30769230769231,6.153846153846154,31.53846153846154,0.0,4.088806613342257,4.088806613342257,0.0,0.0186069228220731,,,,,1,24,260,1,fixed-window,10,283,10,646,0.9277278281359927
DelayCost-adapted,3627.2632596596977,149984.4624849066,257,583.5971302914654,138183152908.2682,42908622373.47966,68.94800743042518,1.1121057625823898,111.78914483510076,0,0,161,2,97,0,61.92307692307692,0.7692307692307693,37.30769230769231,0.0,15.537515093307604,15.537515093307604,0.0,0.0138480772595637,,,,,1,24,260,1,fixed-window,10,283,10,646,0.9180869709132508
Heuristic-TVD,3950.892861546158,149571.7581421866,258,579.7354966751418,138183152908.2682,39288217251.275154,71.56801214591164,0.9832486245364028,79.30292719235098,0,0,169,0,91,0,65.0,0.0,35.0,0.0,428.24185781330334,428.24185781330334,0.0,0.015487307190107,,,,,1,24,260,1,fixed-window,10,283,10,646,1.0
Deadline-Energy,3772.396708012707,71163.84858981332,260,273.70710996082045,143551818802.25815,100349432288.78314,30.09532507072311,12.860969370166428,71.43436513271442,0,0,71,1,188,0,27.307692307692307,0.3846153846153846,72.3076923076923,0.0,78836.15141018668,78836.15141018668,0.0,0.0096646156564999,,,,,2,24,260,1,fixed-window,10,283,10,646,0.9842870551834726
Energy-WSRPT,3321.5130395923347,149908.74235413317,253,592.5246733364947,143551818802.25815,37769024481.34253,73.68962316432288,0.721079132218559,754.0107986472566,0,0,156,26,78,0,60.0,10.0,30.0,0.0,91.25764586669428,91.25764586669428,0.0,0.012118845524338,,,,,2,24,260,1,fixed-window,10,283,10,646,0.866643288482806
ActiveInf-inspired,3459.2130609632045,149995.79092005303,253,592.8687388144389,143551818802.25815,38912596455.76406,72.8929965635852,1.0218073941260324,754.0107986472566,0,0,158,21,81,0,60.76923076923077,8.076923076923077,31.15384615384616,0.0,4.209079946691958,4.209079946691958,0.0,0.03121577017457,,,,,2,24,260,1,fixed-window,10,283,10,646,0.9025717337192124
LEO-DRL-inspired,3646.816412849087,149993.22218261322,253,592.8585857020286,143551818802.25815,39808715397.20744,72.26874885365004,0.9832486245364028,754.0107986472566,0,0,167,10,83,0,64.23076923076923,3.8461538461538463,31.923076923076923,0.0,6.7778173866385885,6.7778173866385885,0.0,0.0568373091832304,,,,,2,24,260,1,fixed-window,10,283,10,646,0.9515208674034004
Hierarchical-RA-inspired,3475.025567246389,149995.79092005303,253,592.8687388144389,143551818802.25815,40853470229.318016,71.5409595153974,1.0218073941260324,754.0107986472566,0,0,158,21,81,0,60.76923076923077,8.076923076923077,31.15384615384616,0.0,4.209079946691958,4.209079946691958,0.0,0.0170899992763924,,,,,2,24,260,1,fixed-window,10,283,10,646,0.9066975048003628
DRL-UA-inspired,3578.716874180187,149982.64261455985,253,592.8167692275093,143551818802.25815,41865795799.09932,70.83576080859747,0.9832486245364028,754.0107986472566,0,0,156,15,89,0,60.0,5.769230769230769,34.23076923076923,0.0,17.35738544001225,17.35738544001225,0.0,0.0628303852863609,,,,,2,24,260,1,fixed-window,10,283,10,646,0.9337524566120878
QoS-Multihop-projected,3526.4993820458176,149989.3524578664,253,592.843290347298,143551818802.25815,42227056327.99161,70.58410218670991,0.8620960381941283,754.0107986472566,0,0,157,15,88,0,60.38461538461539,5.769230769230769,33.84615384615385,0.0,10.64754213334703,10.64754213334703,0.0,0.0177092307309906,,,,,2,24,260,1,fixed-window,10,283,10,646,0.9201279612209124
DelayCost-adapted,3474.4965560051446,149995.79092005303,253,592.8687388144389,143551818802.25815,40376649237.63278,71.87311900711519,1.0218073941260324,754.0107986472566,0,0,158,21,81,0,60.76923076923077,8.076923076923077,31.15384615384616,0.0,4.209079946691958,4.209079946691958,0.0,0.0154215396972946,,,,,2,24,260,1,fixed-window,10,283,10,646,0.9065594761259932
Heuristic-TVD,3832.618429904604,149875.4171290666,254,590.0606973585299,143551818802.25815,42153956555.43225,70.63502440641376,0.7668729075820011,111.32618025258743,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,124.58287093335002,124.58287093335002,0.0,0.0147880766934786,,,,,2,24,260,1,fixed-window,10,283,10,646,1.0
Deadline-Energy,3844.9481927810575,71697.5270752,260,275.75971952000003,145714942829.99643,109056964346.36604,25.15732276435008,15.42668608128982,77.05464053457004,0,0,73,0,187,0,28.07692307692308,0.0,71.92307692307692,0.0,78302.47292479995,78302.47292479995,0.0,0.0102096135378815,,,,,3,24,260,1,fixed-window,10,283,10,646,0.9646914194077068
Energy-WSRPT,3623.277603213673,149949.53697776,255,588.0373999127843,145714942829.99643,39833274930.7004,72.66356204993106,0.9823328932730268,77.65385075632592,0,0,159,19,82,0,61.15384615384615,7.3076923076923075,31.53846153846154,0.0,50.463022240007376,50.463022240007376,0.0,0.0124184611754921,,,,,3,24,260,1,fixed-window,10,283,10,646,0.909074619136588
ActiveInf-inspired,3655.0081218540313,149997.6763199998,255,588.2261816470581,145714942829.99643,47615867559.41237,67.32259119439443,1.1445659766542424,78.84356683183506,0,0,158,18,84,0,60.76923076923077,6.923076923076923,32.30769230769231,0.0,2.3236800000176743,2.3236800000176743,0.0,0.0312176925945095,,,,,3,24,260,1,fixed-window,10,283,10,646,0.9170357560702874
LEO-DRL-inspired,3733.148221129786,149984.66605386665,255,588.1751609955555,145714942829.99643,53594204678.18169,63.21982932065568,1.079645548510598,76.9653606780634,0,0,159,0,101,0,61.15384615384615,0.0,38.84615384615385,0.0,15.333946133347808,15.333946133347808,0.0,0.0596046158954357,,,,,3,24,260,1,fixed-window,10,283,10,646,0.9366409833720534
Hierarchical-RA-inspired,3669.356144614952,149997.6763199998,255,588.2261816470581,145714942829.99643,48508121484.88963,66.71026283043369,1.1445659766542424,78.84356683183506,0,0,158,18,84,0,60.76923076923077,6.923076923076923,32.30769230769231,0.0,2.3236800000176743,2.3236800000176743,0.0,0.0169346165001535,,,,,3,24,260,1,fixed-window,10,283,10,646,0.9206356522844716
DRL-UA-inspired,3736.519810828711,149984.77204069323,255,588.1755766301695,145714942829.99643,46195163078.01941,68.29758006911162,1.0218073941260324,73.13191143162409,0,0,161,7,92,0,61.92307692307692,2.6923076923076925,35.38461538461539,0.0,15.227959306704976,15.227959306704976,0.0,0.0647273074719123,,,,,3,24,260,1,fixed-window,10,283,10,646,0.9374869098941384
QoS-Multihop-projected,3770.888868598091,149987.62795141325,255,588.186776280052,145714942829.99643,46363099216.86104,68.18233029748211,0.9832486245364028,77.65385075632592,0,0,160,3,97,0,61.53846153846154,1.1538461538461535,37.30769230769231,0.0,12.372048586704722,12.372048586704722,0.0,0.0177080768760508,,,,,3,24,260,1,fixed-window,10,283,10,646,0.9461100521215158
DelayCost-adapted,3665.832347319287,149997.6763199998,255,588.2261816470581,145714942829.99643,48278171161.722725,66.86807116408906,1.1445659766542424,78.84356683183506,0,0,158,18,84,0,60.76923076923077,6.923076923076923,32.30769230769231,0.0,2.3236800000176743,2.3236800000176743,0.0,0.0157061541148533,,,,,3,24,260,1,fixed-window,10,283,10,646,0.9197515371171352
Heuristic-TVD,3985.6767826770415,149921.3306329599,257,583.3514810621008,145714942829.99643,48351527943.053314,66.81772850196677,1.0025280093312177,67.95993451600984,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846154,0.0,78.66936704002819,78.66936704002819,0.0,0.0142338464054493,,,,,3,24,260,1,fixed-window,10,283,10,646,1.0
Deadline-Energy,3856.879439805607,72710.54138586667,260,279.6559284071795,143751290598.0329,96634432667.29465,32.77665037630138,11.325929860212394,73.14807775617477,0,0,79,1,180,0,30.384615384615383,0.3846153846153846,69.23076923076923,0.0,77289.45861413333,77289.45861413333,0.0,0.0099869224448831,,,,,4,24,260,1,fixed-window,10,283,10,646,0.976602024845582
Energy-WSRPT,3385.3319243306705,149904.75896778662,259,578.7828531574773,143751290598.0329,45158969510.27501,68.5853467315632,1.1445659766542424,726.9090733329451,0,0,153,12,95,0,58.84615384615385,4.615384615384615,36.53846153846154,0.0,95.24103221335204,95.24103221335204,0.0,0.0127738465940078,,,,,4,24,260,1,fixed-window,10,283,10,646,0.8572012850477788
ActiveInf-inspired,3432.171178530017,149991.08140047977,259,579.1161444033968,143751290598.0329,41365535728.2497,71.22423349650556,1.2567783273066198,726.9090733329451,0,0,153,19,88,0,58.84615384615385,7.3076923076923075,33.84615384615385,0.0,8.918599520041823,8.918599520041823,0.0,0.0305800006921904,,,,,4,24,260,1,fixed-window,10,283,10,646,0.8690614718146341
LEO-DRL-inspired,3566.4128963889366,149995.8063173332,259,579.1343873256108,143751290598.0329,43634693902.01404,69.64570285213763,1.1445659766542424,726.9090733329451,0,0,158,6,96,0,60.76923076923077,2.3076923076923075,36.92307692307692,0.0,4.193682666699687,4.193682666699687,0.0,0.0562342314739138,,,,,4,24,260,1,fixed-window,10,283,10,646,0.9030528722526986
Hierarchical-RA-inspired,3443.2850825888327,149991.08140047977,259,579.1161444033968,143751290598.0329,41152901897.25183,71.37215135526931,1.2567783273066198,726.9090733329451,0,0,153,19,88,0,58.84615384615385,7.3076923076923075,33.84615384615385,0.0,8.918599520041823,8.918599520041823,0.0,0.0167423084628983,,,,,4,24,260,1,fixed-window,10,283,10,646,0.8718756280197153
DRL-UA-inspired,3613.234848274317,149999.96227162663,259,579.1504334811839,143751290598.0329,46666961009.208565,67.53631858533926,1.1894509169151812,726.9090733329451,0,0,154,3,103,0,59.23076923076923,1.1538461538461535,39.61538461538461,0.0,0.0377283733525928,0.0377283733525928,0.0,0.0610265395013042,,,,,4,24,260,1,fixed-window,10,283,10,646,0.914908677893538
QoS-Multihop-projected,3548.7851372763344,149994.06546778648,259,579.1276658987895,143751290598.0329,40079085692.06268,72.11914722620854,1.1445659766542424,726.9090733329451,0,0,153,17,90,0,58.84615384615385,6.538461538461538,34.61538461538461,0.0,5.934532213350934,5.934532213350934,0.0,0.0175842311224327,,,,,4,24,260,1,fixed-window,10,283,10,646,0.8985893401378018
DelayCost-adapted,3439.377998638404,149991.08140047977,259,579.1161444033968,143751290598.0329,41223433744.15981,71.32308616314856,1.2567783273066198,726.9090733329451,0,0,153,19,88,0,58.84615384615385,7.3076923076923075,33.84615384615385,0.0,8.918599520041823,8.918599520041823,0.0,0.014505000749173,,,,,4,24,260,1,fixed-window,10,283,10,646,0.8708863136901435
Heuristic-TVD,3949.284705215973,149888.1055233066,259,578.718554144041,143751290598.0329,39489818184.92574,72.52906876825902,1.0777419947470055,722.8285196627825,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,111.89447669336346,111.89447669336346,0.0,0.0135092309882076,,,,,4,24,260,1,fixed-window,10,283,10,646,1.0
Deadline-Energy,3736.392823105972,55724.94501317332,260,214.3267115891281,145966253614.7567,115042162606.88376,21.185781125471483,16.026909080403055,71.36271956499577,0,0,59,1,200,0,22.692307692307693,0.3846153846153846,76.92307692307692,0.0,94275.05498682668,94275.05498682668,0.0,0.0095753834242574,,,,,5,24,260,1,fixed-window,10,283,10,646,0.948997807285672
Energy-WSRPT,3471.765746386301,149994.31164517338,259,579.1286163906308,145966253614.7567,45220625639.26772,69.01980799026546,0.9832486245364028,70.00163995268541,0,0,157,15,88,0,60.38461538461539,5.769230769230769,33.84615384615385,0.0,5.688354826696696,5.688354826696696,0.0,0.0106838452316319,,,,,5,24,260,1,fixed-window,10,283,10,646,0.881785785572541
ActiveInf-inspired,3453.901779657783,149999.74459221333,259,579.1495930201287,145966253614.7567,51324744009.61919,64.83793840110559,1.1894509169151757,70.00163995268541,0,0,153,4,103,0,58.84615384615385,1.5384615384615383,39.61538461538461,0.0,0.2554077866757609,0.2554077866757609,0.0,0.0285273068584501,,,,,5,24,260,1,fixed-window,10,283,10,646,0.8772485578083855
LEO-DRL-inspired,3518.509299457035,149985.75886922653,259,579.0955940896777,145966253614.7567,44664308649.79151,69.40093511773458,1.079645548510598,70.0118414173031,0,0,157,20,83,0,60.38461538461539,7.6923076923076925,31.923076923076923,0.0,14.24113077332521,14.24113077332521,0.0,0.0563246147626509,,,,,5,24,260,1,fixed-window,10,283,10,646,0.8936580729547849
Hierarchical-RA-inspired,3453.901779657783,149999.74459221333,259,579.1495930201287,145966253614.7567,51324744009.61919,64.83793840110559,1.1894509169151757,70.00163995268541,0,0,153,4,103,0,58.84615384615385,1.5384615384615383,39.61538461538461,0.0,0.2554077866757609,0.2554077866757609,0.0,0.0148019213856269,,,,,5,24,260,1,fixed-window,10,283,10,646,0.8772485578083855
DRL-UA-inspired,3664.5981965186425,149944.6662003733,259,578.9369351365764,145966253614.7567,52351743987.843,64.13435113158896,1.0796455485105678,66.97653440604378,0,0,156,11,93,0,60.0,4.230769230769231,35.76923076923077,0.0,55.33379962667206,55.33379962667206,0.0,0.0601646164656043,,,,,5,24,260,1,fixed-window,10,283,10,646,0.930762855439888
QoS-Multihop-projected,3614.7616796727584,149987.46241941323,259,579.102171503526,145966253614.7567,46021324271.92404,68.4712574775082,1.0218073941260324,69.69639254002793,0,0,157,12,91,0,60.38461538461539,4.615384615384615,35.0,0.0,12.537580586699391,12.537580586699391,0.0,0.0176230774601348,,,,,5,24,260,1,fixed-window,10,283,10,646,0.9181049933122696
DelayCost-adapted,3478.5083355069914,149993.52160447996,259,579.1255660404631,145966253614.7567,49377331657.46484,66.17209085342111,1.1445659766542424,69.64216079747794,0,0,154,8,98,0,59.23076923076923,3.076923076923077,37.69230769230769,0.0,6.478395520006643,6.478395520006643,0.0,0.0133865374104621,,,,,5,24,260,1,fixed-window,10,283,10,646,0.8834983202534219
Heuristic-TVD,3937.198584043962,149787.40836597333,259,578.3297620307851,145966253614.7567,52641966177.041336,63.935522853126514,0.9832486245364028,61.70983823207116,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,212.5916340266608,212.5916340266608,0.0,0.0133807692551412,,,,,5,24,260,1,fixed-window,10,283,10,646,1.0
Deadline-Energy,3774.454989403311,59623.26823472,260,229.3202624412308,136511684238.74995,94917012113.92496,30.46967910239732,14.60893868356937,73.92129724806482,0,0,66,1,193,0,25.384615384615383,0.3846153846153846,74.23076923076923,0.0,90376.73176528004,90376.73176528004,0.0,0.0094603852350981,,,,,6,24,260,1,fixed-window,10,283,10,646,0.954223681049816
Energy-WSRPT,3450.5182428618828,149852.43026117323,257,583.083386230246,136511684238.74995,40142368011.44429,70.59418888918114,1.1121057625823825,110.72537450054526,0,0,152,23,85,0,58.46153846153846,8.846153846153847,32.69230769230769,0.0,147.56973882662228,147.56973882662228,0.0,0.0117815386217374,,,,,6,24,260,1,fixed-window,10,283,10,646,0.872328913307221
ActiveInf-inspired,3525.211049593041,149991.51363621312,257,583.624566677872,136511684238.74995,42003085049.19998,69.2311428992852,1.2231146221108853,110.72537450054526,0,0,150,19,91,0,57.69230769230769,7.3076923076923075,35.0,0.0,8.486363786669415,8.486363786669415,0.0,0.0318796164580047,,,,,6,24,260,1,fixed-window,10,283,10,646,0.8912120752967129
LEO-DRL-inspired,3606.940469736426,149990.41070351982,257,583.6202751109721,136511684238.74995,44392869941.79159,67.480534586218,1.1894509169151812,110.72537450054526,0,0,155,9,96,0,59.61538461538461,3.4615384615384617,36.92307692307692,0.0,9.589296480005345,9.589296480005345,0.0,0.0563446158104432,,,,,6,24,260,1,fixed-window,10,283,10,646,0.911874170449056
Hierarchical-RA-inspired,3547.962539754132,149991.51363621312,257,583.624566677872,136511684238.74995,45017402866.46698,67.02304046902353,1.2231146221108853,110.72537450054526,0,0,150,19,91,0,57.69230769230769,7.3076923076923075,35.0,0.0,8.486363786669415,8.486363786669415,0.0,0.0157153845066204,,,,,6,24,260,1,fixed-window,10,283,10,646,0.8969639019185259
DRL-UA-inspired,3697.556223203681,149986.9069838932,257,583.6066419606739,136511684238.74995,45641593906.36668,66.56579679542848,1.1812187414104909,110.72537450054526,0,0,155,4,101,0,59.61538461538461,1.5384615384615383,38.84615384615385,0.0,13.093016106660144,13.093016106660144,0.0,0.0588442304153711,,,,,6,24,260,1,fixed-window,10,283,10,646,0.934782828275784
QoS-Multihop-projected,3647.225241438727,149995.0780305599,257,583.6384359165755,136511684238.74995,45813168851.84204,66.44011162317958,1.1445659766542424,110.72537450054526,0,0,150,7,103,0,57.69230769230769,2.6923076923076925,39.61538461538461,0.0,4.921969439969956,4.921969439969956,0.0,0.0167903847446163,,,,,6,24,260,1,fixed-window,10,283,10,646,0.9220586032352311
DelayCost-adapted,3543.988178948654,149991.51363621312,257,583.624566677872,136511684238.74995,43349955347.83446,68.24450918646771,1.2231146221108853,110.72537450054526,0,0,150,19,91,0,57.69230769230769,7.3076923076923075,35.0,0.0,8.486363786669415,8.486363786669415,0.0,0.014565000982167,,,,,6,24,260,1,fixed-window,10,283,10,646,0.8959591398513478
Heuristic-TVD,3955.524332880461,149715.49098826657,257,582.550548592477,136511684238.74995,41220788579.558304,69.80420481263285,1.1445659766542198,75.21373487501121,0,0,166,0,94,0,63.84615384615385,0.0,36.15384615384615,0.0,284.50901173332545,284.50901173332545,0.0,0.0142011532891326,,,,,6,24,260,1,fixed-window,10,283,10,646,1.0
Deadline-Energy,3883.084076158536,71262.57109365333,260,274.08681189866667,139247165035.33093,99881808965.40208,28.27013107228485,11.838968943251544,68.4461327724551,0,0,71,0,189,0,27.307692307692307,0.0,72.6923076923077,0.0,78737.42890634667,78737.42890634667,0.0,0.0095265396969177,,,,,7,24,260,1,fixed-window,10,283,10,646,0.9456882004482676
Energy-WSRPT,3507.6946827679367,149740.9884856531,254,589.5314507309178,139247165035.33093,44480995043.98906,68.05608571441797,1.000107804039059,66.51159414699696,0,0,155,26,79,0,59.61538461538461,10.0,30.384615384615383,0.0,259.0115143466953,259.0115143466953,0.0,0.0118934609837686,,,,,7,24,260,1,fixed-window,10,283,10,646,0.8542656834642628
ActiveInf-inspired,3727.733689542321,149982.54397749322,254,590.482456604304,139247165035.33093,53876426618.40443,61.3087802507617,1.1445659766542424,69.26924140178392,0,0,157,0,103,0,60.38461538461539,0.0,39.61538461538461,0.0,17.456022506699696,17.456022506699696,0.0,0.0274073076210557,,,,,7,24,260,1,fixed-window,10,283,10,646,0.9078540910968756
LEO-DRL-inspired,3785.378732311769,149984.51935391975,254,590.4902336768494,139247165035.33093,46472156260.40822,66.62613831411439,1.144565976654227,72.73764298342051,0,0,162,8,90,0,62.30769230769231,3.076923076923077,34.61538461538461,0.0,15.480646080001804,15.480646080001804,0.0,0.055663845649598,,,,,7,24,260,1,fixed-window,10,283,10,646,0.921892993086176
Hierarchical-RA-inspired,3727.733689542321,149982.54397749322,254,590.482456604304,139247165035.33093,53876426618.40443,61.3087802507617,1.1445659766542424,69.26924140178392,0,0,157,0,103,0,60.38461538461539,0.0,39.61538461538461,0.0,17.456022506699696,17.456022506699696,0.0,0.0146676928404933,,,,,7,24,260,1,fixed-window,10,283,10,646,0.9078540910968756
DRL-UA-inspired,3764.750658988905,149778.8069891198,254,589.6803424768495,139247165035.33093,48298178898.984886,65.31478476654785,1.1445659766542424,74.71988810537108,0,0,152,12,96,0,58.46153846153846,4.615384615384615,36.92307692307692,0.0,221.19301088001367,221.19301088001367,0.0,0.0587353839924057,,,,,7,24,260,1,fixed-window,10,283,10,646,0.9168692219916514
QoS-Multihop-projected,3778.10985888714,149987.98192495966,254,590.5038658462979,139247165035.33093,47887522492.03733,65.60969662837522,1.0218073941260437,69.26924140178392,0,0,157,19,84,0,60.38461538461539,7.3076923076923075,32.30769230769231,0.0,12.01807503999902,12.01807503999902,0.0,0.0174869235846787,,,,,7,24,260,1,fixed-window,10,283,10,646,0.9201227280871694
DelayCost-adapted,3727.733689542321,149982.54397749322,254,590.482456604304,139247165035.33093,53876426618.40443,61.3087802507617,1.1445659766542424,69.26924140178392,0,0,157,0,103,0,60.38461538461539,0.0,39.61538461538461,0.0,17.456022506699696,17.456022506699696,0.0,0.0127811543419598,,,,,7,24,260,1,fixed-window,10,283,10,646,0.9078540910968756
Heuristic-TVD,4106.0933977159775,149688.3898704532,258,580.1875576374155,139247165035.33093,47359515028.27628,65.98888385536623,1.0218073941260437,59.41933453479224,0,0,169,1,90,0,65.0,0.3846153846153846,34.61538461538461,0.0,311.6101295466981,311.6101295466981,0.0,0.0137569224954439,,,,,7,24,260,1,fixed-window,10,283,10,646,1.0
Deadline-Energy,3807.586330320566,73051.95887727995,260,280.96907260492287,147675122448.8456,107986139264.03851,26.87587626585871,10.647973555536677,74.23923498141562,0,0,72,1,187,0,27.692307692307693,0.3846153846153846,71.92307692307692,0.0,76948.04112272005,76948.04112272005,0.0,0.0098284612669466,,,,,8,24,260,1,fixed-window,10,283,10,646,0.9920789887534682
Energy-WSRPT,3335.145916001523,149805.56215354672,256,585.1779771622919,147675122448.8456,43717117103.24272,70.39642400270483,1.079645548510545,78.66929020213107,0,0,150,27,83,0,57.69230769230769,10.384615384615383,31.923076923076923,0.0,194.43784645337144,194.43784645337144,0.0,0.0119500007713213,,,,,8,24,260,1,fixed-window,10,283,10,646,0.8689831039007548
ActiveInf-inspired,3402.393805083593,149989.19807631974,256,585.895304985624,147675122448.8456,52171633258.62287,64.67134586145677,1.2567783273065891,79.33171732849058,0,0,150,19,91,0,57.69230769230769,7.3076923076923075,35.0,0.0,10.801923679920437,10.801923679920437,0.0,0.0300969233369239,,,,,8,24,260,1,fixed-window,10,283,10,646,0.8865047598813636
